Division,District,Upazila,Market,Commodity,Price Type,Year,Lowest Price,Highest Price,Average Price
Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,Ata (packet),Retail,2017,31.72,33.72,32.72
Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,Ata (packet),Wholesale,2017,"2,858.02","3,019.34","2,938.68"
Dhaka,Tangail,Bhuyapur,Bhuyapur Sadar,Ata (packet),Retail,2017,34,35,34.5
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Ata (packet),Retail,2017,30.38,32.38,31.38
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Ata (packet),Wholesale,2017,"2,841.46","3,041.46","2,941.46"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Retail,2015,24,25,24.5
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Retail,2016,21.49,22.49,21.99
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Retail,2017,23.91,24.91,24.41
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Wholesale,2015,"2,126.67","2,146.67","2,136.67"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Wholesale,2016,"1,916.50","1,939.56","1,928.03"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Ata (loose) - red,Wholesale,2017,"2,275.28","2,373.61","2,324.44"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Ata (loose) - red,Retail,2015,21,22,21.5
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Ata (loose) - red,Retail,2016,20,21,20.5
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Ata (loose) - red,Retail,2017,20,21,20.5
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Ata (loose) - red,Wholesale,2015,"1,800.00","1,900.00","1,850.00"
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Ata (loose) - red,Retail,2016,31,34.43,32.71
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Ata (loose) - red,Wholesale,2016,"3,114.29","3,428.57","3,271.43"
Barisal,Barisal,Babugonj,Mohangonj,Ata (loose) - red,Retail,2016,26,27,26.5
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Ata (loose) - red,Retail,2015,26.15,27.23,26.69
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Ata (loose) - red,Retail,2016,25.5,26,25.75
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Ata (loose) - red,Retail,2017,25.5,26,25.75
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Ata (loose) - red,Wholesale,2015,"2,500.00","2,550.00","2,525.00"
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Ata (loose) - red,Wholesale,2016,"2,490.12","2,540.12","2,515.12"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Retail,2015,24,24,24
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Retail,2016,25.64,25.64,25.64
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Retail,2017,23.79,24.48,24.14
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Wholesale,2015,"2,300.00","2,300.00","2,300.00"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Wholesale,2016,"2,463.64","2,463.64","2,463.64"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Ata (loose) - red,Wholesale,2017,"2,232.19","2,268.49","2,250.34"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Ata (loose) - red,Retail,2016,35,39,37
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Ata (loose) - red,Wholesale,2016,"3,400.00","3,800.00","3,600.00"
Dhaka,Dhaka,Dhaka Sadar,Badamtali and Wiseghat,Ata (loose) - red,Retail,2015,25,26,25.5
Dhaka,Dhaka,Dhaka Sadar,Badamtali and Wiseghat,Ata (loose) - red,Retail,2017,25,26,25.5
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Ata (loose) - red,Retail,2015,24,26,25
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Ata (loose) - red,Retail,2015,23,24,23.5
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Ata (loose) - red,Retail,2015,22,24,23
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Ata (loose) - red,Retail,2015,28,30,29
Chittagong,Kaptai,Kaptai Sadar,Natun Bazar Kaptai,Ata (loose) - red,Retail,2015,21.97,23.37,22.67
Chittagong,Kaptai,Kaptai Sadar,Natun Bazar Kaptai,Ata (loose) - red,Retail,2016,18.29,19.02,18.65
Chittagong,Kaptai,Kaptai Sadar,Natun Bazar Kaptai,Ata (loose) - red,Wholesale,2016,"1,606.90","1,703.45","1,655.17"
Chittagong,Kaptai,Kaptai Sadar,Raikhali,Ata (loose) - red,Retail,2015,27,28,27.5
Chittagong,Kaptai,Kaptai Sadar,Raikhali,Ata (loose) - red,Wholesale,2015,"2,600.00","2,700.00","2,650.00"
Khulna,Khulna,Khulna Sadar,KCC Paikari Kacha Bazar,Ata (loose) - red,Wholesale,2015,900,"1,500.00","1,200.00"
Khulna,Khulna,Khulna Sadar,Khulna Sadar,Ata (loose) - red,Retail,2015,24,26,25
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Ata (loose) - red,Retail,2015,25,25,25
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Ata (loose) - red,Retail,2015,32,34,33
Khulna,Magura,Magura Sadar,Magura Sadar,Ata (loose) - red,Retail,2015,24,24.75,24.38
Khulna,Meherpur,Gangni,Baradi,Ata (loose) - red,Wholesale,2015,30,34,32
Khulna,Narail,Narail Sadar,Narail Sadar,Ata (loose) - red,Retail,2015,26,280,153
Dhaka,Netrokona,Netrakona Sadar,Netrakona Sadar,Ata (loose) - red,Retail,2015,26,27,26.5
Rajshahi,Pabna,Sathia,Ataikula,Ata (loose) - red,Retail,2015,26,27,26.5
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Ata (loose) - red,Retail,2015,24,25,24.5
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Ata (loose) - red,Retail,2016,22.12,23.12,22.62
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Ata (loose) - red,Retail,2017,21,22,21.5
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Ata (loose) - red,Wholesale,2015,"2,200.00","2,300.00","2,250.00"
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Ata (loose) - red,Wholesale,2016,"2,029.67","2,129.67","2,079.67"
Rangpur,Panchagarh,Panchagarh Sadar,Panchagarh Sadar,Ata (loose) - red,Retail,2015,0.45,0.78,0.62
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Ata (loose) - red,Retail,2015,24.77,25.85,25.31
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Ata (loose) - red,Retail,2016,25.73,26.73,26.23
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Ata (loose) - red,Retail,2017,23.13,24.75,23.94
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Ata (loose) - red,Wholesale,2017,21,22,21.5
Rajshahi,Rajshahi,Puthia,Baneshor,Ata (loose) - red,Retail,2015,22.5,23.5,23
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Ata (loose) - red,Retail,2015,24,26,25
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Ata (loose) - red,Retail,2016,21,22,21.5
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Ata (loose) - red,Retail,2017,21,22,21.5
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Ata (loose) - red,Wholesale,2015,"2,000.00","2,100.00","2,050.00"
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Ata (loose) - red,Wholesale,2016,"1,700.00","1,800.00","1,750.00"
Rangpur,Rangpur,Rangpur Sadar,Nawabganj bazar,Ata (loose) - red,Wholesale,2015,"2,200.00","2,400.00","2,300.00"
Khulna,Satkhira,Tala,Jatpur,Ata (loose) - red,Retail,2015,32,34,33
Khulna,Satkhira,Tala,Jatpur,Ata (loose) - red,Wholesale,2015,"2,900.00","2,700.00","2,800.00"
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Ata (loose) - red,Retail,2015,28,30,29
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Ata (loose) - red,Wholesale,2015,"2,100.00","2,200.00","2,150.00"
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Ata (loose) - red,Retail,2015,25,27,26
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Retail,2018,55.47,64.11,59.79
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Retail,2019,56.78,65.41,61.1
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Retail,2020,97.62,107.54,102.58
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Wholesale,2018,"4,599.59","5,138.52","4,869.06"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Wholesale,2019,"4,544.35","5,092.47","4,818.41"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Green Chili,Wholesale,2020,"8,042.74","8,872.58","8,457.66"
Khulna,Bagerhat,Bagerhat Sadar,Jatrapur,Green Chili,Growers,2019,"5,208.33","5,875.00","5,541.67"
Khulna,Bagerhat,Bagerhat Sadar,Jatrapur,Green Chili,Growers,2020,"4,033.33","4,383.33","4,208.33"
Khulna,Bagerhat,Chittalmari,Nawa Bazar,Green Chili,Growers,2019,"4,900.00","5,384.62","5,142.31"
Khulna,Bagerhat,Chittalmari,Nawa Bazar,Green Chili,Growers,2020,"4,166.67","4,666.67","4,416.67"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Growers,2019,"5,000.00","6,000.00","5,500.00"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Retail,2018,56.15,63.94,60.04
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Retail,2019,59.77,67.32,63.55
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Retail,2020,96.9,106,101.45
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Wholesale,2018,"4,585.83","5,347.50","4,966.67"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Wholesale,2019,"5,022.59","5,752.30","5,387.45"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Green Chili,Wholesale,2020,"8,761.15","9,656.15","9,208.65"
Chittagong,Bandarban,Roanchori,Roanchori,Green Chili,Growers,2019,"5,000.00","5,500.00","5,250.00"
Barisal,Barguna,Barguna Sadar,Amtoli,Green Chili,Growers,2018,"5,350.00","6,085.00","5,717.50"
Barisal,Barguna,Barguna Sadar,Amtoli,Green Chili,Growers,2019,"5,175.00","5,815.00","5,495.00"
Barisal,Barguna,Barguna Sadar,Amtoli,Green Chili,Growers,2020,"10,211.11","11,277.78","10,744.44"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Retail,2018,76.65,90.18,83.41
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Retail,2019,69.53,82.06,75.79
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Retail,2020,126.08,140.43,133.26
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Wholesale,2018,"6,126.09","7,096.20","6,611.14"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Wholesale,2019,"5,600.00","6,454.51","6,027.25"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Green Chili,Wholesale,2020,"10,379.59","11,428.57","10,904.08"
Barisal,Barguna,Amtoli,Chandkhali,Green Chili,Growers,2018,"5,145.00","5,895.00","5,520.00"
Barisal,Barguna,Amtoli,Chandkhali,Green Chili,Growers,2019,"5,119.05","5,723.81","5,421.43"
Barisal,Barguna,Amtoli,Chandkhali,Green Chili,Growers,2020,"10,375.00","11,437.50","10,906.25"
Barisal,Barguna,Amtoli,Chandkhali,Green Chili,Wholesale,2020,"6,000.00","7,000.00","6,500.00"
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Retail,2018,62.74,76.93,69.84
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Retail,2019,57.14,65,61.07
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Retail,2020,100.93,115.17,108.05
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Wholesale,2018,"4,565.04","5,289.43","4,927.24"
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Wholesale,2019,"4,575.00","5,099.07","4,837.04"
Barisal,Barisal,Barisal Sadar,Barisal Sadar,Green Chili,Wholesale,2020,"7,795.95","9,028.34","8,412.15"
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Retail,2018,63.76,72.03,67.9
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Retail,2019,55.43,64.27,59.85
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Retail,2020,102.8,112.74,107.77
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Wholesale,2018,"5,191.02","5,843.27","5,517.14"
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Wholesale,2019,"4,418.75","5,242.50","4,830.63"
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Green Chili,Wholesale,2020,"9,152.80","10,074.00","9,613.40"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Retail,2018,43.63,53.32,48.48
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Retail,2019,47.69,59.68,53.69
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Retail,2020,81.44,96.32,88.88
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Wholesale,2018,"3,230.33","3,955.33","3,592.83"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Wholesale,2019,"3,477.73","4,359.24","3,918.49"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Green Chili,Wholesale,2020,"6,645.20","7,859.20","7,252.20"
Chittagong,Brahmonbaria,Nabinagar,Baish Mouza,Green Chili,Growers,2018,"5,250.00","6,000.00","5,625.00"
Chittagong,Brahmonbaria,Nabinagar,Baish Mouza,Green Chili,Growers,2019,"4,780.00","5,400.00","5,090.00"
Chittagong,Brahmonbaria,Nabinagar,Baish Mouza,Green Chili,Growers,2020,"7,762.50","8,875.00","8,318.75"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Retail,2018,45.18,48.5,46.84
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Retail,2019,38,40.16,39.08
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Retail,2020,132.5,147.96,140.23
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Wholesale,2018,"3,996.00","4,320.00","4,158.00"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Wholesale,2019,"3,329.03","3,516.13","3,422.58"
Chittagong,Brahmonbaria,Brahmonbaria Sadar,Brahmonbaria Sadar,Green Chili,Wholesale,2020,"12,236.84","13,763.16","13,000.00"
Chittagong,Brahmonbaria,Nabinagar,Nabinagar,Green Chili,Growers,2018,"3,812.50","4,375.00","4,093.75"
Chittagong,Chittagong,Sitakunda,Baro Darogar Hat/Gochorabaz,Green Chili,Growers,2019,"3,277.78","3,855.56","3,566.67"
Chittagong,Chittagong,Sitakunda,Baro Darogar Hat/Gochorabaz,Green Chili,Growers,2020,"5,895.83","6,908.33","6,402.08"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Retail,2018,47.6,55.39,51.5
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Retail,2019,49.48,58.7,54.09
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Retail,2020,87.94,101.39,94.67
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Wholesale,2018,"3,574.69","3,964.08","3,769.39"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Wholesale,2019,"3,577.27","15,022.31","9,299.79"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Green Chili,Wholesale,2020,"7,047.84","8,035.69","7,541.76"
Chittagong,Chittagong,Mirsharai,Gora Bazar/Mitachara,Green Chili,Growers,2019,"3,417.39","3,813.04","3,615.22"
Chittagong,Chittagong,Mirsharai,Gora Bazar/Mitachara,Green Chili,Growers,2020,"6,083.33","6,941.67","6,512.50"
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Retail,2018,45.55,59.95,52.75
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Retail,2019,46.8,50.99,48.9
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Retail,2020,78.08,89.89,83.99
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Wholesale,2018,"3,396.23","4,011.48","3,703.85"
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Wholesale,2019,"3,562.95","4,239.64","3,901.29"
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Green Chili,Wholesale,2020,"6,820.46","7,679.87","7,250.17"
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Retail,2018,66.72,74.14,70.43
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Retail,2019,60.71,68.19,64.45
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Retail,2020,101.11,111.67,106.39
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Wholesale,2018,"5,115.89","5,591.15","5,353.52"
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Wholesale,2019,"4,447.02","4,834.17","4,640.60"
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Green Chili,Wholesale,2020,"8,238.49","8,838.08","8,538.28"
Chittagong,Comilla,Comilla Sadar,Rajganj Bazar,Green Chili,Retail,2018,37.44,43.21,40.32
Chittagong,Comilla,Comilla Sadar,Rajganj Bazar,Green Chili,Retail,2019,36.88,41.88,39.38
Chittagong,Comilla,Comilla Sadar,Rajganj Bazar,Green Chili,Wholesale,2018,"2,628.21","2,912.82","2,770.51"
Chittagong,Comilla,Comilla Sadar,Rajganj Bazar,Green Chili,Wholesale,2019,"2,281.25","2,531.25","2,406.25"
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Green Chili,Retail,2018,52.55,62.55,57.55
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Green Chili,Retail,2019,53.44,64.09,58.77
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Green Chili,Retail,2020,85.97,93.87,89.92
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Green Chili,Wholesale,2019,"4,730.57","5,761.66","5,246.11"
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Green Chili,Wholesale,2020,"7,707.05","8,663.00","8,185.02"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Retail,2018,37.9,64.52,51.21
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Retail,2019,53.43,80.49,66.96
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Retail,2020,52.35,74.12,63.24
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Wholesale,2018,"2,584.38","3,471.88","3,028.13"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Wholesale,2019,"3,674.88","4,504.93","4,089.90"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Green Chili,Wholesale,2020,"3,700.00","4,415.38","4,057.69"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Retail,2018,47.76,71.95,59.85
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Retail,2019,55.13,81.97,68.55
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Retail,2020,61.17,79.27,70.22
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Wholesale,2018,"3,545.56","4,434.68","3,990.12"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Wholesale,2019,"3,980.97","4,869.89","4,425.43"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Green Chili,Wholesale,2020,"4,479.57","5,422.06","4,950.81"
Dhaka,Dhaka,Savar,Kalampur,Green Chili,Growers,2018,"3,152.17","3,704.35","3,428.26"
Dhaka,Dhaka,Savar,Kalampur,Green Chili,Growers,2019,"3,090.65","3,755.14","3,422.90"
Dhaka,Dhaka,Savar,Kalampur,Green Chili,Growers,2020,"2,611.11","3,555.56","3,083.33"
Dhaka,Dhaka,Savar,Rajfulbaria,Green Chili,Growers,2018,"3,473.68","4,047.37","3,760.53"
Dhaka,Dhaka,Savar,Rajfulbaria,Green Chili,Growers,2019,"2,679.41","3,210.78","2,945.10"
Dhaka,Dhaka,Savar,Rajfulbaria,Green Chili,Growers,2020,"2,000.00","2,500.00","2,250.00"
Dhaka,Dhaka,Savar,Savar,Green Chili,Retail,2018,57.98,86.05,72.01
Dhaka,Dhaka,Savar,Savar,Green Chili,Retail,2019,51.46,76.26,63.86
Dhaka,Dhaka,Savar,Savar,Green Chili,Retail,2020,43.33,53.33,48.33
Dhaka,Dhaka,Savar,Savar,Green Chili,Wholesale,2018,"4,425.58","5,453.49","4,939.53"
Dhaka,Dhaka,Savar,Savar,Green Chili,Wholesale,2019,"3,655.29","4,367.65","4,011.47"
Dhaka,Dhaka,Savar,Savar,Green Chili,Wholesale,2020,"3,000.00","3,500.00","3,250.00"
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Growers,2019,"2,400.00","2,600.00","2,500.00"
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Retail,2018,47.03,55.42,51.23
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Retail,2019,51.34,59.69,55.52
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Retail,2020,77.8,89.59,83.7
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Wholesale,2018,"3,052.17","3,622.05","3,337.11"
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Wholesale,2019,"3,435.27","3,880.50","3,657.88"
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Green Chili,Wholesale,2020,"6,083.58","6,967.34","6,525.46"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Retail,2018,56.24,66.54,61.39
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Retail,2019,156.92,185.8,171.36
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Retail,2020,89.62,102.56,96.09
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Wholesale,2018,"4,299.60","4,900.81","4,600.20"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Wholesale,2019,"4,203.60","4,988.98","4,596.29"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Green Chili,Wholesale,2020,"7,184.18","8,186.71","7,685.44"
Dhaka,Faridpur,Boalmari,Kadordi,Green Chili,Growers,2018,"3,528.85","7,005.77","5,267.31"
Dhaka,Faridpur,Boalmari,Kadordi,Green Chili,Growers,2019,"4,082.08","4,513.33","4,297.71"
Dhaka,Faridpur,Boalmari,Kadordi,Green Chili,Growers,2020,"7,565.22","8,260.87","7,913.04"
Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Green Chili,Growers,2018,"3,724.00","4,122.00","3,923.00"
Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Green Chili,Growers,2019,"3,803.57","4,287.50","4,045.54"
Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Green Chili,Growers,2020,"6,839.13","7,630.43","7,234.78"
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Retail,2018,58.3,67.27,62.79
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Retail,2019,48.1,54.49,51.29
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Retail,2020,95.05,104.74,99.9
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Wholesale,2018,"4,181.08","4,858.56","4,519.82"
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Wholesale,2019,"3,833.87","4,370.43","4,102.15"
Chittagong,Feni,Feni Sadar,Feni Sadar,Green Chili,Wholesale,2020,"7,928.23","8,798.79","8,363.51"
Rangpur,Gaibandha,Sadullahpur,Dhaperhat,Green Chili,Growers,2019,"3,384.00","3,756.00","3,570.00"
Rangpur,Gaibandha,Sadullahpur,Dhaperhat,Green Chili,Growers,2020,"8,237.50","8,943.75","8,590.63"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Retail,2018,40.75,48.71,44.73
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Retail,2019,43.16,51.13,47.14
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Retail,2020,80.8,92.38,86.59
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Wholesale,2018,"3,080.65","3,580.65","3,330.65"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Wholesale,2019,"3,216.60","3,757.49","3,487.04"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Green Chili,Wholesale,2020,"6,333.47","7,132.26","6,732.86"
Rangpur,Gaibandha,Gobindogonj,Golapbag,Green Chili,Growers,2019,"3,033.33","3,711.11","3,372.22"
Rangpur,Gaibandha,Gobindogonj,Golapbag,Green Chili,Growers,2020,"6,800.00","7,310.53","7,055.26"
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Green Chili,Retail,2018,67.76,72.9,70.33
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Green Chili,Retail,2019,64.69,69.67,67.18
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Green Chili,Retail,2020,106.97,115.83,111.4
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Green Chili,Wholesale,2018,"4,857.14","5,205.71","5,031.43"
