Division,District,Upazila,Market,Commodity,Price Type,Year,Lowest Price,Highest Price,Average Price
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Sugar (Imported),Wholesale,2018,"4,933.85","4,947.92","4,940.89"
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Sugar (Imported),Wholesale,2019,"5,116.15","5,127.83","5,121.99"
Chittagong,Comilla,Comilla Sadar,Comilla Sadar,Sugar (Imported),Wholesale,2020,"5,631.59","5,641.10","5,636.35"
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Sugar (Imported),Retail,2018,51.54,53.35,52.45
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Sugar (Imported),Retail,2019,52.65,54.67,53.66
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Sugar (Imported),Retail,2020,60.84,62.62,61.73
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Sugar (Imported),Wholesale,2019,"5,082.90","5,277.72","5,180.31"
Chittagong,Cox`s Bazar,Cox`s Bazar Sadar,Cox`s Bazar Sadar,Sugar (Imported),Wholesale,2020,"5,786.93","5,915.75","5,851.34"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Retail,2018,52,53,52.5
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Retail,2019,55.69,57.76,56.73
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Retail,2020,63.29,65.49,64.39
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Wholesale,2018,"4,720.00","4,740.00","4,730.00"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Wholesale,2019,"5,165.69","5,218.69","5,192.19"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Mohanogor,Sugar (Imported),Wholesale,2020,"6,035.00","6,056.92","6,045.96"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Retail,2018,51.94,54.8,53.37
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Retail,2019,54.92,57.2,56.06
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Retail,2020,61.67,63.35,62.51
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Wholesale,2018,"4,836.67","4,875.65","4,856.16"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Wholesale,2019,"5,130.63","5,152.24","5,141.43"
Dhaka,Dhaka,Dhaka Sadar,Dhaka Sadar,Sugar (Imported),Wholesale,2020,"5,788.21","5,817.87","5,803.04"
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Retail,2018,52.6,55.38,53.99
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Retail,2019,54.67,56.91,55.79
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Retail,2020,62,65,63.5
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Wholesale,2018,"4,835.48","4,856.67","4,846.07"
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Wholesale,2019,"5,078.06","6,442.82","5,760.44"
Dhaka,Dhaka,Savar,Savar,Sugar (Imported),Wholesale,2020,"5,866.67","5,886.67","5,876.67"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Retail,2018,54.14,56.24,55.19
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Retail,2019,55.38,57.14,56.26
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Retail,2020,63.16,64.44,63.8
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Wholesale,2018,"5,064.75","5,151.23","5,107.99"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Wholesale,2019,"5,303.18","5,396.60","5,349.89"
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Sugar (Imported),Wholesale,2020,"5,886.77","5,945.73","5,916.25"
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Retail,2018,47.76,49.26,48.51
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Retail,2019,52.33,53.49,52.91
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Retail,2020,60.22,61.74,60.98
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Wholesale,2018,"4,466.28","4,595.35","4,530.81"
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Wholesale,2019,"4,946.69","5,025.21","4,985.95"
Chittagong,Feni,Feni Sadar,Feni Sadar,Sugar (Imported),Wholesale,2020,"5,750.56","5,814.68","5,782.62"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Retail,2018,51.26,53.01,52.14
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Retail,2019,53.29,55.28,54.28
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Retail,2020,60.08,61.94,61.01
